seqnames,duplicate_candidate,filter
Scaffold_101,TRUE,keep
Scaffold_116,TRUE,keep
Scaffold_120,TRUE,keep
Scaffold_150,TRUE,keep
Scaffold_155,TRUE,keep
Scaffold_164,TRUE,keep
Scaffold_181,TRUE,keep
Scaffold_187,TRUE,keep
Scaffold_22,TRUE,keep
Scaffold_256,TRUE,keep
Scaffold_258,TRUE,keep
Scaffold_28,TRUE,keep
Scaffold_280,TRUE,keep
Scaffold_293,TRUE,keep
Scaffold_312,TRUE,keep
Scaffold_32,TRUE,keep
Scaffold_344,TRUE,keep
Scaffold_351,TRUE,keep
Scaffold_362,TRUE,keep
Scaffold_406,TRUE,keep
Scaffold_412,TRUE,keep
Scaffold_413,TRUE,keep
Scaffold_414,TRUE,keep
Scaffold_43,TRUE,keep
Scaffold_69,TRUE,keep
Scaffold_75,TRUE,keep
Scaffold_104,TRUE,remove
Scaffold_111,TRUE,remove
Scaffold_115,TRUE,remove
Scaffold_146,TRUE,remove
Scaffold_148,TRUE,remove
Scaffold_18,TRUE,remove
Scaffold_184,TRUE,remove
Scaffold_188,TRUE,remove
Scaffold_195,TRUE,remove
Scaffold_196,TRUE,remove
Scaffold_211,TRUE,remove
Scaffold_232,TRUE,remove
Scaffold_241,TRUE,remove
Scaffold_25,TRUE,remove
Scaffold_257,TRUE,remove
Scaffold_260,TRUE,remove
Scaffold_281,TRUE,remove
Scaffold_284,TRUE,remove
Scaffold_288,TRUE,remove
Scaffold_294,TRUE,remove
Scaffold_325,TRUE,remove
Scaffold_377,TRUE,remove
Scaffold_389,TRUE,remove
Scaffold_400,TRUE,remove
Scaffold_7,TRUE,remove
Scaffold_81,TRUE,remove
Scaffold_92,TRUE,remove
Scaffold_1,FALSE,as_is
Scaffold_10,FALSE,as_is
Scaffold_100,FALSE,as_is
Scaffold_102,FALSE,as_is
Scaffold_103,FALSE,as_is
Scaffold_105,FALSE,as_is
Scaffold_106,FALSE,as_is
Scaffold_107,FALSE,as_is
Scaffold_108,FALSE,as_is
Scaffold_109,FALSE,as_is
Scaffold_11,FALSE,as_is
Scaffold_110,FALSE,as_is
Scaffold_112,FALSE,as_is
Scaffold_113,FALSE,as_is
Scaffold_114,FALSE,as_is
Scaffold_117,FALSE,as_is
Scaffold_118,FALSE,as_is
Scaffold_119,FALSE,as_is
Scaffold_12,FALSE,as_is
Scaffold_121,FALSE,as_is
Scaffold_122,FALSE,as_is
Scaffold_123,FALSE,as_is
Scaffold_124,FALSE,as_is
Scaffold_125,FALSE,as_is
Scaffold_126,FALSE,as_is
Scaffold_127,FALSE,as_is
Scaffold_128,FALSE,as_is
Scaffold_129,FALSE,as_is
Scaffold_13,FALSE,as_is
Scaffold_130,FALSE,as_is
Scaffold_131,FALSE,as_is
Scaffold_132,FALSE,as_is
Scaffold_133,FALSE,as_is
Scaffold_134,FALSE,as_is
Scaffold_135,FALSE,as_is
Scaffold_136,FALSE,as_is
Scaffold_137,FALSE,as_is
Scaffold_138,FALSE,as_is
Scaffold_139,FALSE,as_is
Scaffold_14,FALSE,as_is
Scaffold_140,FALSE,as_is
Scaffold_141,FALSE,as_is
Scaffold_142,FALSE,as_is
Scaffold_143,FALSE,as_is
Scaffold_144,FALSE,as_is
Scaffold_145,FALSE,as_is
Scaffold_147,FALSE,as_is
Scaffold_149,FALSE,as_is
Scaffold_15,FALSE,as_is
Scaffold_151,FALSE,as_is
Scaffold_152,FALSE,as_is
Scaffold_153,FALSE,as_is
Scaffold_154,FALSE,as_is
Scaffold_156,FALSE,as_is
Scaffold_157,FALSE,as_is
Scaffold_158,FALSE,as_is
Scaffold_159,FALSE,as_is
Scaffold_16,FALSE,as_is
Scaffold_160,FALSE,as_is
Scaffold_161,FALSE,as_is
Scaffold_162,FALSE,as_is
Scaffold_163,FALSE,as_is
Scaffold_165,FALSE,as_is
Scaffold_166,FALSE,as_is
Scaffold_167,FALSE,as_is
Scaffold_168,FALSE,as_is
Scaffold_169,FALSE,as_is
Scaffold_17,FALSE,as_is
Scaffold_170,FALSE,as_is
Scaffold_171,FALSE,as_is
Scaffold_172,FALSE,as_is
Scaffold_173,FALSE,as_is
Scaffold_174,FALSE,as_is
Scaffold_175,FALSE,as_is
Scaffold_176,FALSE,as_is
Scaffold_177,FALSE,as_is
Scaffold_178,FALSE,as_is
Scaffold_179,FALSE,as_is
Scaffold_180,FALSE,as_is
Scaffold_182,FALSE,as_is
Scaffold_183,FALSE,as_is
Scaffold_185,FALSE,as_is
Scaffold_186,FALSE,as_is
Scaffold_189,FALSE,as_is
Scaffold_19,FALSE,as_is
Scaffold_190,FALSE,as_is
Scaffold_191,FALSE,as_is
Scaffold_192,FALSE,as_is
Scaffold_193,FALSE,as_is
Scaffold_194,FALSE,as_is
Scaffold_197,FALSE,as_is
Scaffold_198,FALSE,as_is
Scaffold_199,FALSE,as_is
Scaffold_2,FALSE,as_is
Scaffold_20,FALSE,as_is
Scaffold_200,FALSE,as_is
Scaffold_201,FALSE,as_is
Scaffold_202,FALSE,as_is
Scaffold_203,FALSE,as_is
Scaffold_204,FALSE,as_is
Scaffold_205,FALSE,as_is
Scaffold_206,FALSE,as_is
Scaffold_207,FALSE,as_is
Scaffold_208,FALSE,as_is
Scaffold_209,FALSE,as_is
Scaffold_21,FALSE,as_is
Scaffold_210,FALSE,as_is
Scaffold_212,FALSE,as_is
Scaffold_213,FALSE,as_is
Scaffold_214,FALSE,as_is
Scaffold_215,FALSE,as_is
Scaffold_216,FALSE,as_is
Scaffold_217,FALSE,as_is
Scaffold_218,FALSE,as_is
Scaffold_219,FALSE,as_is
Scaffold_220,FALSE,as_is
Scaffold_221,FALSE,as_is
Scaffold_222,FALSE,as_is
Scaffold_223,FALSE,as_is
Scaffold_224,FALSE,as_is
Scaffold_225,FALSE,as_is
Scaffold_226,FALSE,as_is
Scaffold_227,FALSE,as_is
Scaffold_228,FALSE,as_is
Scaffold_229,FALSE,as_is
Scaffold_23,FALSE,as_is
Scaffold_230,FALSE,as_is
Scaffold_231,FALSE,as_is
Scaffold_233,FALSE,as_is
Scaffold_234,FALSE,as_is
Scaffold_235,FALSE,as_is
Scaffold_236,FALSE,as_is
Scaffold_237,FALSE,as_is
Scaffold_238,FALSE,as_is
Scaffold_239,FALSE,as_is
Scaffold_24,FALSE,as_is
Scaffold_240,FALSE,as_is
Scaffold_242,FALSE,as_is
Scaffold_243,FALSE,as_is
Scaffold_244,FALSE,as_is
Scaffold_245,FALSE,as_is
Scaffold_246,FALSE,as_is
Scaffold_247,FALSE,as_is
Scaffold_248,FALSE,as_is
Scaffold_249,FALSE,as_is
Scaffold_250,FALSE,as_is
Scaffold_251,FALSE,as_is
Scaffold_252,FALSE,as_is
Scaffold_253,FALSE,as_is
Scaffold_254,FALSE,as_is
Scaffold_255,FALSE,as_is
Scaffold_259,FALSE,as_is
Scaffold_26,FALSE,as_is
Scaffold_261,FALSE,as_is
Scaffold_262,FALSE,as_is
Scaffold_263,FALSE,as_is
Scaffold_264,FALSE,as_is
Scaffold_265,FALSE,as_is
Scaffold_266,FALSE,as_is
Scaffold_267,FALSE,as_is
Scaffold_268,FALSE,as_is
Scaffold_269,FALSE,as_is
Scaffold_27,FALSE,as_is
Scaffold_270,FALSE,as_is
Scaffold_271,FALSE,as_is
Scaffold_272,FALSE,as_is
Scaffold_273,FALSE,as_is
Scaffold_274,FALSE,as_is
Scaffold_275,FALSE,as_is
Scaffold_276,FALSE,as_is
Scaffold_277,FALSE,as_is
Scaffold_278,FALSE,as_is
Scaffold_279,FALSE,as_is
Scaffold_282,FALSE,as_is
Scaffold_283,FALSE,as_is
Scaffold_285,FALSE,as_is
Scaffold_286,FALSE,as_is
Scaffold_287,FALSE,as_is
Scaffold_289,FALSE,as_is
Scaffold_29,FALSE,as_is
Scaffold_290,FALSE,as_is
Scaffold_291,FALSE,as_is
Scaffold_292,FALSE,as_is
Scaffold_295,FALSE,as_is
Scaffold_296,FALSE,as_is
Scaffold_297,FALSE,as_is
Scaffold_298,FALSE,as_is
Scaffold_299,FALSE,as_is
Scaffold_3,FALSE,as_is
Scaffold_30,FALSE,as_is
Scaffold_300,FALSE,as_is
Scaffold_301,FALSE,as_is
Scaffold_302,FALSE,as_is
Scaffold_303,FALSE,as_is
Scaffold_304,FALSE,as_is
Scaffold_305,FALSE,as_is
Scaffold_306,FALSE,as_is
Scaffold_307,FALSE,as_is
Scaffold_308,FALSE,as_is
Scaffold_309,FALSE,as_is
Scaffold_31,FALSE,as_is
Scaffold_310,FALSE,as_is
Scaffold_311,FALSE,as_is
Scaffold_313,FALSE,as_is
Scaffold_314,FALSE,as_is
Scaffold_315,FALSE,as_is
Scaffold_316,FALSE,as_is
Scaffold_317,FALSE,as_is
Scaffold_318,FALSE,as_is
Scaffold_319,FALSE,as_is
Scaffold_320,FALSE,as_is
Scaffold_321,FALSE,as_is
Scaffold_322,FALSE,as_is
Scaffold_323,FALSE,as_is
Scaffold_324,FALSE,as_is
Scaffold_326,FALSE,as_is
Scaffold_327,FALSE,as_is
Scaffold_328,FALSE,as_is
Scaffold_329,FALSE,as_is
Scaffold_33,FALSE,as_is
Scaffold_330,FALSE,as_is
Scaffold_331,FALSE,as_is
Scaffold_332,FALSE,as_is
Scaffold_333,FALSE,as_is
Scaffold_334,FALSE,as_is
Scaffold_335,FALSE,as_is
Scaffold_336,FALSE,as_is
Scaffold_337,FALSE,as_is
Scaffold_338,FALSE,as_is
Scaffold_339,FALSE,as_is
Scaffold_34,FALSE,as_is
Scaffold_340,FALSE,as_is
Scaffold_341,FALSE,as_is
Scaffold_342,FALSE,as_is
Scaffold_343,FALSE,as_is
Scaffold_345,FALSE,as_is
Scaffold_346,FALSE,as_is
Scaffold_347,FALSE,as_is
Scaffold_348,FALSE,as_is
Scaffold_349,FALSE,as_is
Scaffold_35,FALSE,as_is
Scaffold_350,FALSE,as_is
Scaffold_352,FALSE,as_is
Scaffold_353,FALSE,as_is
Scaffold_354,FALSE,as_is
Scaffold_355,FALSE,as_is
Scaffold_356,FALSE,as_is
Scaffold_357,FALSE,as_is
Scaffold_358,FALSE,as_is
Scaffold_359,FALSE,as_is
Scaffold_36,FALSE,as_is
Scaffold_360,FALSE,as_is
Scaffold_361,FALSE,as_is
Scaffold_363,FALSE,as_is
Scaffold_364,FALSE,as_is
Scaffold_365,FALSE,as_is
Scaffold_366,FALSE,as_is
Scaffold_367,FALSE,as_is
Scaffold_368,FALSE,as_is
Scaffold_369,FALSE,as_is
Scaffold_37,FALSE,as_is
Scaffold_370,FALSE,as_is
Scaffold_371,FALSE,as_is
Scaffold_372,FALSE,as_is
Scaffold_373,FALSE,as_is
Scaffold_374,FALSE,as_is
Scaffold_375,FALSE,as_is
Scaffold_376,FALSE,as_is
Scaffold_378,FALSE,as_is
Scaffold_379,FALSE,as_is
Scaffold_38,FALSE,as_is
Scaffold_380,FALSE,as_is
Scaffold_381,FALSE,as_is
Scaffold_382,FALSE,as_is
Scaffold_383,FALSE,as_is
Scaffold_384,FALSE,as_is
Scaffold_385,FALSE,as_is
Scaffold_386,FALSE,as_is
Scaffold_387,FALSE,as_is
Scaffold_388,FALSE,as_is
Scaffold_39,FALSE,as_is
Scaffold_390,FALSE,as_is
Scaffold_391,FALSE,as_is
Scaffold_392,FALSE,as_is
Scaffold_393,FALSE,as_is
Scaffold_394,FALSE,as_is
Scaffold_395,FALSE,as_is
Scaffold_396,FALSE,as_is
Scaffold_397,FALSE,as_is
Scaffold_398,FALSE,as_is
Scaffold_399,FALSE,as_is
Scaffold_4,FALSE,as_is
Scaffold_40,FALSE,as_is
Scaffold_401,FALSE,as_is
Scaffold_402,FALSE,as_is
Scaffold_403,FALSE,as_is
Scaffold_404,FALSE,as_is
Scaffold_405,FALSE,as_is
Scaffold_407,FALSE,as_is
Scaffold_408,FALSE,as_is
Scaffold_409,FALSE,as_is
Scaffold_41,FALSE,as_is
Scaffold_410,FALSE,as_is
Scaffold_411,FALSE,as_is
Scaffold_42,FALSE,as_is
Scaffold_44,FALSE,as_is
Scaffold_45,FALSE,as_is
Scaffold_46,FALSE,as_is
Scaffold_47,FALSE,as_is
Scaffold_48,FALSE,as_is
Scaffold_49,FALSE,as_is
Scaffold_5,FALSE,as_is
Scaffold_50,FALSE,as_is
Scaffold_51,FALSE,as_is
Scaffold_52,FALSE,as_is
Scaffold_53,FALSE,as_is
Scaffold_54,FALSE,as_is
Scaffold_55,FALSE,as_is
Scaffold_56,FALSE,as_is
Scaffold_57,FALSE,as_is
Scaffold_58,FALSE,as_is
Scaffold_59,FALSE,as_is
Scaffold_6,FALSE,as_is
Scaffold_60,FALSE,as_is
Scaffold_61,FALSE,as_is
Scaffold_62,FALSE,as_is
Scaffold_63,FALSE,as_is
Scaffold_64,FALSE,as_is
Scaffold_65,FALSE,as_is
Scaffold_66,FALSE,as_is
Scaffold_67,FALSE,as_is
Scaffold_68,FALSE,as_is
Scaffold_70,FALSE,as_is
Scaffold_71,FALSE,as_is
Scaffold_72,FALSE,as_is
Scaffold_73,FALSE,as_is
Scaffold_74,FALSE,as_is
Scaffold_76,FALSE,as_is
Scaffold_77,FALSE,as_is
Scaffold_78,FALSE,as_is
Scaffold_79,FALSE,as_is
Scaffold_8,FALSE,as_is
Scaffold_80,FALSE,as_is
Scaffold_82,FALSE,as_is
Scaffold_83,FALSE,as_is
Scaffold_84,FALSE,as_is
Scaffold_85,FALSE,as_is
Scaffold_86,FALSE,as_is
Scaffold_87,FALSE,as_is
Scaffold_88,FALSE,as_is
Scaffold_89,FALSE,as_is
Scaffold_9,FALSE,as_is
Scaffold_90,FALSE,as_is
Scaffold_91,FALSE,as_is
Scaffold_93,FALSE,as_is
Scaffold_94,FALSE,as_is
Scaffold_95,FALSE,as_is
Scaffold_96,FALSE,as_is
Scaffold_97,FALSE,as_is
Scaffold_98,FALSE,as_is
Scaffold_99,FALSE,as_is
